,,Cu,S,Na,Mg,Si,Al,P,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Zn,Ga,Ge,As,Se,Br,Kr,Xe,Rn,At,I,Te,Po,Bi,Sb,Sn,Pb,Tl,In,Cs,Ba,Rb,Sr,Y,Zr,Hf,Ta,Nb,Mo,W,Re,Tc,Ru,Os,Rh,Ir,Pt,Pd,Cd,Au,Hg,Ag,Fr,Ra,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ac,Th,Pa,U
,,ppm,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,ppm,mass%,ppm,ppm,mass%,mass%,mass%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
245-246,12/05/2024 15:20,ND,0.0015,ND,0.0166,0.0267,ND,ND,0.0077,ND,0.0477,1.85,ND,0.0085,ND,1.96,0.002,0.0495,ND,1.56,0.875,ND,ND,ND,ND,1.23,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.722,25.8,ND,96.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,22.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
254-255,12/05/2024 15:48,33.4,0.124,1.9,0.435,5.63,1.91,0.0185,1.23,ND,0.588,30.6,ND,0.251,ND,26,0.069,1.42,0.0096,17.5,30.2,8.22,ND,ND,ND,44.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15.1,ND,ND,ND,252,25.9,1030,15.6,ND,ND,ND,11.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,38.8,24.1,ND,ND,ND,ND,ND
275-276,12/05/2024 16:00,35.6,0.085,2,0.577,3.58,1.14,ND,0.748,ND,0.674,32.9,ND,0.249,ND,31.6,0.0853,1.4,0.0067,18.4,24.6,ND,ND,ND,ND,45.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15.8,ND,ND,ND,142,30.1,998,11.9,ND,ND,29.6,9.57,ND,ND,22,ND,ND,ND,ND,ND,ND,ND,ND,11.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,262,ND,ND,ND,ND,ND,ND,24.9,ND,ND,ND,ND,ND
279-280,12/05/2024 16:12,9.04,0.0068,1.52,0.766,1.22,0.247,ND,0.0528,ND,0.841,3.22,ND,0.222,67.2,31,0.0058,1.33,ND,ND,20.4,5.13,ND,6.31,ND,13.3,15.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,30.9,28.7,94.1,ND,334,ND,ND,ND,ND,ND,6.44,ND,ND,3.98,ND,ND,ND,ND,0.508,2.28,ND,ND,4.77,ND,ND,ND,ND,ND,ND,ND,504,ND,188,ND,ND,ND,32.9,ND,ND,ND,5.16,ND,ND
284-285,12/05/2024 16:25,ND,0.0006,0.262,0.119,0.0795,ND,ND,0.0069,ND,0.195,0.721,ND,0.0463,15.4,6.08,0.011,0.315,ND,3.81,4.99,1.1,ND,ND,ND,2.65,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.71,ND,ND,ND,ND,6.61,18.8,ND,105,ND,ND,ND,ND,ND,1.21,ND,ND,1.74,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
288-289,1/24/2025 10:01 AM,68.3,0.207,6.42,1.2,16.2,5.73,0.0422,2.14,ND,1.56,19.2,ND,0.644,150,93.2,0.0856,4.25,0.0122,42.5,93.7,15.9,ND,21.5,ND,69.1,41.1,ND,ND,ND,ND,8.6,ND,ND,ND,ND,ND,ND,ND,ND,577,76.9,801,25.8,ND,ND,ND,32.6,ND,ND,17,ND,ND,16.2,ND,16,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,591,ND,ND,ND,ND,ND,111,ND,ND,ND,21.1,20.6,ND
291-292,1/24/2025 10:13 AM,18.8,0.136,51.5,0.29,2.52,0.916,0.0235,17.3,ND,0.602,25,ND,0.37,69.5,60.3,0.0392,1.16,ND,15.4,24.5,ND,ND,ND,ND,25,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.2,ND,ND,ND,45.4,17.3,541,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
294-295,1/24/2025 10:26 AM,29,0.147,8.97,0.413,5.37,1.87,0.0167,3.43,ND,0.597,35.6,ND,0.252,ND,18.1,0.0375,1.62,0.0086,13.2,40.5,14,ND,9.84,ND,64.2,23.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,233,32.4,1410,18.9,ND,ND,ND,17,ND,ND,15,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,469,ND,ND,59.2,ND,ND,ND,ND,ND,15,ND
295-296,1/24/2025 10:38 AM,32.1,0.151,4.1,0.426,4.51,1.56,0.014,1.4,ND,0.516,36.6,ND,0.22,ND,17.3,0.0259,1.31,0.0077,ND,26.3,6.3,ND,ND,ND,48.3,ND,ND,ND,ND,ND,13.8,ND,ND,ND,ND,18.9,ND,ND,ND,221,28.2,1370,13.2,ND,ND,ND,16,ND,ND,29.7,ND,ND,ND,ND,12.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,203,ND,ND,ND,ND,57.4,ND,ND,ND,ND,ND,ND,ND
300-301,1/24/2025 10:50 AM,12.8,0.156,8.01,0.21,2.03,0.653,0.0112,3.27,ND,0.271,40.4,ND,0.121,ND,9.21,0.021,0.64,ND,ND,15.4,ND,ND,ND,ND,50.3,ND,ND,ND,ND,ND,9.99,ND,ND,ND,ND,19.2,ND,ND,ND,107,15.3,1550,ND,ND,ND,ND,ND,ND,ND,22.1,ND,ND,13.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,74.6,ND,ND,ND,ND,ND,ND,ND
