x Distance [mm]	Height [cm]
 123.660 	 6.638 
 123.850 	 6.633 
 124.040 	 6.633 
 124.225 	 6.633 
 124.415 	 6.631 
 124.600 	 6.631 
 124.790 	 6.631 
 124.980 	 6.628 
 125.165 	 6.626 
 125.355 	 6.629 
 125.540 	 6.628 
 125.730 	 6.629 
 125.920 	 6.628 
 126.105 	 6.628 
 126.295 	 6.628 
 126.480 	 6.626 
 126.670 	 6.626 
 126.860 	 6.623 
 127.045 	 6.624 
 127.235 	 6.621 
 127.420 	 6.616 
 127.610 	 6.619 
 127.800 	 6.621 
 127.985 	 6.618 
 128.175 	 6.613 
 128.360 	 6.614 
 128.550 	 6.619 
 128.740 	 6.618 
 128.925 	 6.611 
 129.115 	 6.612 
 129.300 	 6.616 
 129.490 	 6.616 
 129.680 	 6.616 
 129.865 	 6.613 
 130.055 	 6.611 
 130.240 	 6.611 
 130.430 	 6.611 
 130.620 	 6.611 
 130.805 	 6.611 
 130.995 	 6.611 
 131.180 	 6.611 
 131.370 	 6.611 
 131.560 	 6.611 
 131.745 	 6.609 
 131.935 	 6.606 
 132.120 	 6.604 
 132.310 	 6.602 
 132.500 	 6.602 
 132.685 	 6.602 
 132.875 	 6.602 
 133.060 	 6.602 
 133.250 	 6.599 
 133.440 	 6.597 
 133.625 	 6.594 
 133.815 	 6.595 
 134.000 	 6.597 
 134.190 	 6.597 
 134.380 	 6.594 
 134.565 	 6.594 
 134.755 	 6.594 
 134.940 	 6.589 
 135.130 	 6.590 
 135.320 	 6.592 
 135.505 	 6.589 
 135.695 	 6.584 
 135.880 	 6.585 
 136.070 	 6.587 
 136.260 	 6.584 
 136.445 	 6.585 
 136.635 	 6.587 
 136.820 	 6.587 
 137.010 	 6.587 
 137.200 	 6.584 
 137.385 	 6.579 
 137.575 	 6.577 
 137.760 	 6.574 
 137.950 	 6.575 
 138.140 	 6.574 
 138.325 	 6.575 
 138.515 	 6.574 
 138.700 	 6.572 
 138.890 	 6.572 
 139.080 	 6.570 
 139.265 	 6.567 
 139.455 	 6.567 
 139.640 	 6.570 
 139.830 	 6.569 
 140.020 	 6.567 
 140.205 	 6.567 
 140.395 	 6.565 
 140.580 	 6.569 
 140.770 	 6.567 
 140.960 	 6.559 
 141.145 	 6.558 
 141.335 	 6.558 
 141.520 	 6.558 
 141.710 	 6.561 
 141.900 	 6.559 
 142.085 	 6.558 
 142.275 	 6.552 
 142.460 	 6.551 
 142.650 	 6.553 
 142.840 	 6.553 
 143.025 	 6.553 
 143.215 	 6.553 
 143.400 	 6.553 
 143.590 	 6.553 
 143.780 	 6.549 
 143.965 	 6.548 
 144.155 	 6.551 
 144.340 	 6.553 
 144.530 	 6.549 
 144.720 	 6.548 
 144.905 	 6.548 
 145.095 	 6.548 
 145.280 	 6.544 
 145.470 	 6.543 
 145.660 	 6.540 
 145.845 	 6.538 
 146.035 	 6.535 
 146.220 	 6.533 
 146.410 	 6.533 
 146.600 	 6.530 
 146.785 	 6.532 
 146.975 	 6.533 
 147.160 	 6.530 
 147.350 	 6.525 
 147.540 	 6.520 
 147.725 	 6.522 
 147.915 	 6.523 
 148.100 	 6.523 
 148.290 	 6.520 
 148.480 	 6.519 
 148.665 	 6.519 
 148.855 	 6.519 
 149.040 	 6.515 
 149.230 	 6.517 
 149.420 	 6.519 
 149.605 	 6.512 
 149.795 	 6.513 
 149.980 	 6.514 
 150.170 	 6.508 
 150.360 	 6.504 
 150.545 	 6.507 
 150.735 	 6.509 
 150.920 	 6.509 
 151.110 	 6.509 
 151.300 	 6.509 
 151.485 	 6.505 
 151.675 	 6.504 
 151.860 	 6.504 
 152.050 	 6.507 
 152.240 	 6.505 
 152.425 	 6.504 
